French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
parle,speak
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
matin,morning
tellement,so much
point,point
venu,came
suite,after
devant,in front of
minutes,minutes
demandé,request
belle,beautiful
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
